LatD,LatM,LatS,NS,LonD,LonM,LonS,EW,City,State,average,date
41,5,59," ""N""",80,39,0," ""W"""," ""Youngstown""", OH,37.33333333,1748-06-01
42,52,48," ""N""",97,23,23," ""W"""," ""Yankton""", SD,47.5,1748-07-01
46,35,59," ""N""",120,30,36," ""W"""," ""Yakima""", WA,54.33333333,1748-08-01
42,16,12," ""N""",71,48,0," ""W"""," ""Worcester""", MA,31.5,1748-09-01
43,37,48," ""N""",89,46,11," ""W"""," ""Wisconsin Dells""", WI,45.66666667,1748-10-01
36,5,59," ""N""",80,15,0," ""W"""," ""Winston-Salem""", NC,32.5,1748-11-01
49,52,48," ""N""",97,9,0," ""W"""," ""Winnipeg""", MB,41.47222222,1748-12-01
39,11,23," ""N""",78,9,36," ""W"""," ""Winchester""", VA,41.47222222,1749-01-01
34,14,24," ""N""",77,55,11," ""W"""," ""Wilmington""", NC,42.06349206,1749-02-01
39,45,0," ""N""",75,33,0," ""W"""," ""Wilmington""", DE,41.28684807,1749-03-01
48,9,0," ""N""",103,37,12," ""W"""," ""Williston""", ND,39.42306446,1749-04-01
41,15,0," ""N""",77,0,0," ""W"""," ""Williamsport""", PA,40.55493082,1749-05-01
37,40,48," ""N""",82,16,47," ""W"""," ""Williamson""", WV,39.82468284,1749-06-01
33,54,0," ""N""",98,29,23," ""W"""," ""Wichita Falls""", TX,40.8710661,1749-07-01
37,41,23," ""N""",97,20,23," ""W"""," ""Wichita""", KS,40.78518665,1749-08-01
40,4,11," ""N""",80,43,12," ""W"""," ""Wheeling""", WV,40.68703872,1749-09-01
26,43,11," ""N""",80,3,0," ""W"""," ""West Palm Beach""", FL,40.49040252,1749-10-01
47,25,11," ""N""",120,19,11," ""W"""," ""Wenatchee""", WA,40.37662459,1749-11-01
41,25,11," ""N""",122,23,23," ""W"""," ""Weed""", CA,40.51284746,1749-12-01
31,13,11," ""N""",82,20,59," ""W"""," ""Waycross""", GA,40.50683555,1750-01-01
44,57,35," ""N""",89,38,23," ""W"""," ""Wausau""", WI,40.60428594,1750-02-01
42,21,36," ""N""",87,49,48," ""W"""," ""Waukegan""", IL,40.56617449,1750-03-01
44,54,0," ""N""",97,6,36," ""W"""," ""Watertown""", SD,40.53488704,1750-04-01
43,58,47," ""N""",75,55,11," ""W"""," ""Watertown""", NY,40.51315109,1750-05-01
42,30,0," ""N""",92,20,23," ""W"""," ""Waterloo""", IA,40.51640088,1750-06-01
41,32,59," ""N""",73,3,0," ""W"""," ""Waterbury""", CT,40.87582788,1750-07-01
38,53,23," ""N""",77,1,47," ""W"""," ""Washington""", DC,41.01752766,1750-08-01
41,50,59," ""N""",79,8,23," ""W"""," ""Warren""", PA,40.75822877,1750-09-01
46,4,11," ""N""",118,19,48," ""W"""," ""Walla Walla""", WA,40.21522459,1750-10-01
31,32,59," ""N""",97,8,23," ""W"""," ""Waco""", TX,40.56383357,1750-11-01
38,40,48," ""N""",87,31,47," ""W"""," ""Vincennes""", IN,40.35972025,1750-12-01
28,48,35," ""N""",97,0,36," ""W"""," ""Victoria""", TX,40.67410906,1751-01-01
32,20,59," ""N""",90,52,47," ""W"""," ""Vicksburg""", MS,40.64218453,1751-02-01
49,16,12," ""N""",123,7,12," ""W"""," ""Vancouver""", BC,40.60898302,1751-03-01
46,55,11," ""N""",98,0,36," ""W"""," ""Valley City""", ND,40.55080266,1751-04-01
30,49,47," ""N""",83,16,47," ""W"""," ""Valdosta""", GA,40.52136085,1751-05-01
43,6,36," ""N""",75,13,48," ""W"""," ""Utica""", NY,40.5652927,1751-06-01
39,54,0," ""N""",79,43,48," ""W"""," ""Uniontown""", PA,40.56570718,1751-07-01
32,20,59," ""N""",95,18,0," ""W"""," ""Tyler""", TX,40.59534815,1751-08-01
42,33,36," ""N""",114,28,12," ""W"""," ""Twin Falls""", ID,40.58431943,1751-09-01
33,12,35," ""N""",87,34,11," ""W"""," ""Tuscaloosa""", AL,40.57628474,1751-10-01
34,15,35," ""N""",88,42,35," ""W"""," ""Tupelo""", MS,40.57185458,1751-11-01
36,9,35," ""N""",95,54,36," ""W"""," ""Tulsa""", OK,40.57511267,1751-12-01
32,13,12," ""N""",110,58,12," ""W"""," ""Tucson""", AZ,40.58305219,1752-01-01
37,10,11," ""N""",104,30,36," ""W"""," ""Trinidad""", CO,40.58586038,1752-02-01
40,13,47," ""N""",74,46,11," ""W"""," ""Trenton""", NJ,40.58902137,1752-03-01
44,45,35," ""N""",85,37,47," ""W"""," ""Traverse City""", MI,40.58841079,1752-04-01
43,39,0," ""N""",79,22,47," ""W"""," ""Toronto""", ON,40.58930024,1752-05-01
39,2,59," ""N""",95,40,11," ""W"""," ""Topeka""", KS,40.59147677,1752-06-01
41,39,0," ""N""",83,32,24," ""W"""," ""Toledo""", OH,40.5946098,1752-07-01
33,25,48," ""N""",94,3,0," ""W"""," ""Texarkana""", TX,40.59773815,1752-08-01
39,28,12," ""N""",87,24,36," ""W"""," ""Terre Haute""", IN,40.58661456,1752-09-01
27,57,0," ""N""",82,26,59," ""W"""," ""Tampa""", FL,40.56937804,1752-10-01
30,27,0," ""N""",84,16,47," ""W"""," ""Tallahassee""", FL,40.56182401,1752-11-01
47,14,24," ""N""",122,25,48," ""W"""," ""Tacoma""", WA,40.57568799,1752-12-01
43,2,59," ""N""",76,9,0," ""W"""," ""Syracuse""", NY,40.57616216,1753-01-01
32,35,59," ""N""",82,20,23," ""W"""," ""Swainsboro""", GA,40.58481984,1753-02-01
33,55,11," ""N""",80,20,59," ""W"""," ""Sumter""", SC,40.58124827,1753-03-01
40,59,24," ""N""",75,11,24," ""W"""," ""Stroudsburg""", PA,40.57881082,1753-04-01
37,57,35," ""N""",121,17,24," ""W"""," ""Stockton""", CA,40.57760393,1753-05-01
44,31,12," ""N""",89,34,11," ""W"""," ""Stevens Point""", WI,40.57867599,1753-06-01
40,21,36," ""N""",80,37,12," ""W"""," ""Steubenville""", OH,40.58096859,1753-07-01
40,37,11," ""N""",103,13,12," ""W"""," ""Sterling""", CO,40.58159563,1753-08-01
38,9,0," ""N""",79,4,11," ""W"""," ""Staunton""", VA,40.58223116,1753-09-01
39,55,11," ""N""",83,48,35," ""W"""," ""Springfield""", OH,40.58170649,1753-10-01
37,13,12," ""N""",93,17,24," ""W"""," ""Springfield""", MO,40.58160197,1753-11-01
42,5,59," ""N""",72,35,23," ""W"""," ""Springfield""", MA,40.58181466,1753-12-01
39,47,59," ""N""",89,39,0," ""W"""," ""Springfield""", IL,40.58221306,1754-01-01
47,40,11," ""N""",117,24,36," ""W"""," ""Spokane""", WA,40.58249707,1754-02-01
41,40,48," ""N""",86,15,0," ""W"""," ""South Bend""", IN,40.58247487,1754-03-01
43,32,24," ""N""",96,43,48," ""W"""," ""Sioux Falls""", SD,40.58233945,1754-04-01
42,29,24," ""N""",96,23,23," ""W"""," ""Sioux City""", IA,40.58207217,1754-05-01
32,30,35," ""N""",93,45,0," ""W"""," ""Shreveport""", LA,40.58181863,1754-06-01
33,38,23," ""N""",96,36,36," ""W"""," ""Sherman""", TX,40.58151936,1754-07-01
44,47,59," ""N""",106,57,35," ""W"""," ""Sheridan""", WY,40.58112107,1754-08-01
35,13,47," ""N""",96,40,48," ""W"""," ""Seminole""", OK,40.58058152,1754-09-01
32,25,11," ""N""",87,1,11," ""W"""," ""Selma""", AL,40.57989525,1754-10-01
38,42,35," ""N""",93,13,48," ""W"""," ""Sedalia""", MO,40.57962648,1754-11-01
47,35,59," ""N""",122,19,48," ""W"""," ""Seattle""", WA,40.58003642,1754-12-01
41,24,35," ""N""",75,40,11," ""W"""," ""Scranton""", PA,40.58076491,1755-01-01
41,52,11," ""N""",103,39,36," ""W"""," ""Scottsbluff""", NB,40.58096799,1755-02-01
42,49,11," ""N""",73,56,59," ""W"""," ""Schenectady""", NY,40.58116022,1755-03-01
32,4,48," ""N""",81,5,23," ""W"""," ""Savannah""", GA,40.58101384,1755-04-01
46,29,24," ""N""",84,20,59," ""W"""," ""Sault Sainte Marie""", MI,40.58100446,1755-05-01
27,20,24," ""N""",82,31,47," ""W"""," ""Sarasota""", FL,40.58109221,1755-06-01
38,26,23," ""N""",122,43,12," ""W"""," ""Santa Rosa""", CA,40.58123174,1755-07-01
35,40,48," ""N""",105,56,59," ""W"""," ""Santa Fe""", NM,40.58133397,1755-08-01
34,25,11," ""N""",119,41,59," ""W"""," ""Santa Barbara""", CA,40.58134858,1755-09-01
33,45,35," ""N""",117,52,12," ""W"""," ""Santa Ana""", CA,40.5813387,1755-10-01
37,20,24," ""N""",121,52,47," ""W"""," ""San Jose""", CA,40.581303,1755-11-01
37,46,47," ""N""",122,25,11," ""W"""," ""San Francisco""", CA,40.58128686,1755-12-01
41,27,0," ""N""",82,42,35," ""W"""," ""Sandusky""", OH,40.58127426,1756-01-01
32,42,35," ""N""",117,9,0," ""W"""," ""San Diego""", CA,40.58125264,1756-02-01
34,6,36," ""N""",117,18,35," ""W"""," ""San Bernardino""", CA,40.58121423,1756-03-01
29,25,12," ""N""",98,30,0," ""W"""," ""San Antonio""", TX,40.58116291,1756-04-01
31,27,35," ""N""",100,26,24," ""W"""," ""San Angelo""", TX,40.58111044,1756-05-01
40,45,35," ""N""",111,52,47," ""W"""," ""Salt Lake City""", UT,40.58106128,1756-06-01
38,22,11," ""N""",75,35,59," ""W"""," ""Salisbury""", MD,40.58102084,1756-07-01
36,40,11," ""N""",121,39,0," ""W"""," ""Salinas""", CA,40.58098893,1756-08-01
38,50,24," ""N""",97,36,36," ""W"""," ""Salina""", KS,40.58096771,1756-09-01
38,31,47," ""N""",106,0,0," ""W"""," ""Salida""", CO,40.58096158,1756-10-01
44,56,23," ""N""",123,1,47," ""W"""," ""Salem""", OR,40.58097678,1756-11-01
44,57,0," ""N""",93,5,59," ""W"""," ""Saint Paul""", MN,40.58102004,1756-12-01
38,37,11," ""N""",90,11,24," ""W"""," ""Saint Louis""", MO,40.58107578,1757-01-01
39,46,12," ""N""",94,50,23," ""W"""," ""Saint Joseph""", MO,40.58111736,1757-02-01
42,5,59," ""N""",86,28,48," ""W"""," ""Saint Joseph""", MI,40.58113145,1757-03-01
44,25,11," ""N""",72,1,11," ""W"""," ""Saint Johnsbury""", VT,40.58113799,1757-04-01
45,34,11," ""N""",94,10,11," ""W"""," ""Saint Cloud""", MN,40.5811371,1757-05-01
29,53,23," ""N""",81,19,11," ""W"""," ""Saint Augustine""", FL,40.58114203,1757-06-01
43,25,48," ""N""",83,56,24," ""W"""," ""Saginaw""", MI,40.58114754,1757-07-01
38,35,24," ""N""",121,29,23," ""W"""," ""Sacramento""", CA,40.58114975,1757-08-01
43,36,36," ""N""",72,58,12," ""W"""," ""Rutland""", VT,40.58114647,1757-09-01
33,24,0," ""N""",104,31,47," ""W"""," ""Roswell""", NM,40.58113897,1757-10-01
35,56,23," ""N""",77,48,0," ""W"""," ""Rocky Mount""", NC,40.58113059,1757-11-01
41,35,24," ""N""",109,13,48," ""W"""," ""Rock Springs""", WY,40.58112226,1757-12-01
42,16,12," ""N""",89,5,59," ""W"""," ""Rockford""", IL,40.58111503,1758-01-01
43,9,35," ""N""",77,36,36," ""W"""," ""Rochester""", NY,40.58110816,1758-02-01
44,1,12," ""N""",92,27,35," ""W"""," ""Rochester""", MN,40.58110151,1758-03-01
37,16,12," ""N""",79,56,24," ""W"""," ""Roanoke""", VA,40.58109547,1758-04-01
37,32,24," ""N""",77,26,59," ""W"""," ""Richmond""", VA,40.58109072,1758-05-01
39,49,48," ""N""",84,53,23," ""W"""," ""Richmond""", IN,40.58108783,1758-06-01
38,46,12," ""N""",112,5,23," ""W"""," ""Richfield""", UT,40.58108693,1758-07-01
45,38,23," ""N""",89,25,11," ""W"""," ""Rhinelander""", WI,40.58108795,1758-08-01
39,31,12," ""N""",119,48,35," ""W"""," ""Reno""", NV,40.58109064,1758-09-01
50,25,11," ""N""",104,39,0," ""W"""," ""Regina""", SA,40.58109471,1758-10-01
40,10,48," ""N""",122,14,23," ""W"""," ""Red Bluff""", CA,40.58109979,1758-11-01
40,19,48," ""N""",75,55,48," ""W"""," ""Reading""", PA,40.58110531,1758-12-01
41,9,35," ""N""",81,14,23," ""W"""," ""Ravenna""", OH ,40.58111046,1759-01-01
